freshBlood,hotStreak,inactive,leaguePoints,losses,playerOrTeamId,playerOrTeamName,rank,veteran,wins,accountId,id
False,False,False,958,533,49400639,YM  zhongdan,I,True,614,208056637,49400639
False,False,False,624,211,2337101,kb227,I,True,284,1830884,2337101
False,False,False,489,257,12022069,HanGuo Xiao Daye,I,False,315,200381865,12022069
False,False,False,787,539,31700901,MVP Ian,I,True,616,205248873,31700901
False,False,False,1077,1030,36250290,K T,I,True,1131,206107682,36250290
False,False,False,395,1210,4572590,Alun,I,False,1254,3489417,4572590
True,True,False,404,608,11108018,Sakura Devil,I,False,689,7803418,11108018
False,True,False,630,470,1296022,GuGer,I,False,535,909429,1296022
True,True,False,384,1184,2476861,콩복치,I,False,1243,1960910,2476861
True,False,False,438,713,5151686,CJE Candy,I,False,762,4020503,5151686
False,False,False,427,330,51651113,귀여운안지영,I,False,411,207987339,51651113
False,False,False,458,480,4636042,Riyon,I,False,603,3765312,4636042
False,False,False,716,203,53290161,FeelsG00DMan,I,True,302,208537462,53290161
True,True,False,405,976,36791740,얼라이쁘,I,False,1036,206198425,36791740
False,False,False,530,232,50791988,bbq Ghost,I,False,288,208244782,50791988
False,True,False,558,203,60970764,Peanut,I,False,290,209521897,60970764
True,False,False,383,878,35030847,CCCrusHHH,I,False,933,205940681,35030847
False,False,False,1009,275,26670323,츠코파이,I,True,376,204167188,26670323
False,False,False,426,463,50800386,knight dog,I,False,544,208191209,50800386
False,False,False,487,493,6730482,maxiaotiao,I,False,623,4741330,6730482
False,True,False,588,458,16810685,RedBull Thal,I,False,522,201236882,16810685
False,False,False,601,453,9810634,NekoL,I,False,524,6871165,9810634
False,True,False,776,314,22611767,원딜둥이,I,True,396,203073673,22611767
False,False,False,416,427,5356799,슬프다고말하면,I,False,486,4267501,5356799
False,False,False,767,205,59230720,백수 Rain1ng,I,True,301,209319733,59230720
True,True,False,435,260,57330154,슈퍼겔럭시니달리,I,False,339,209084978,57330154
False,False,False,370,226,52133166,UcaL,I,False,299,208484750,52133166
False,False,False,494,988,39050997,종학깅,I,True,1053,206560208,39050997
True,True,False,411,164,30891088,J푸른하늘,I,False,244,205005943,30891088
True,True,False,449,399,4959450,DAN Ggoong,I,False,455,3972036,4959450
False,False,False,631,356,44930590,길동이에유,I,False,427,207569128,44930590
True,True,False,426,246,28552004,TnTeddy,I,False,296,204500813,28552004
True,False,False,379,599,1252821,GimGoon,I,False,655,755064,1252821
False,True,False,757,136,36990696,아라가키 유이,I,False,238,206227817,36990696
False,False,False,437,119,60141443,민나오하요,I,False,201,209394196,60141443
False,True,False,554,888,8377903,VIP 민형,I,True,957,5775781,8377903
True,False,False,416,514,10954237,XuanerDD,I,False,623,7751954,10954237
True,True,False,400,157,63220273,샌 톡,I,False,234,209676025,63220273
False,True,False,406,535,5268604,Boldness,I,False,595,4299069,5268604
False,False,False,545,573,55422225,에메랄드사파이어,I,True,655,208904782,55422225
False,False,False,678,671,35801706,bbq Tempt,I,True,747,206091414,35801706
False,True,False,780,175,58280556,wanxiaowan,I,True,273,209225242,58280556
False,False,False,545,218,25330528,MinKOOK2,I,False,292,203881305,25330528
False,False,False,810,381,55670257,프로시켜줘요,I,True,440,208876020,55670257
True,True,False,375,917,1562737,720171017,I,False,972,489826,1562737
False,True,False,482,344,1154367,AP Innovation,I,False,429,751494,1154367
False,True,False,912,400,8865750,JAG SnowFlower,I,True,489,6127074,8865750
True,False,False,470,909,5122177,Wilder,I,False,968,4021996,5122177
True,False,False,368,776,7978352,점수어떻게올림,I,False,822,5548984,7978352
False,True,False,921,486,41381113,Megalia,I,True,570,206878233,41381113
True,False,False,419,232,30470126,MeteorOvO,I,False,307,204879466,30470126
False,False,False,634,591,17280234,백수 JJUN,I,False,654,201356568,17280234
False,False,False,821,408,1640653,UaoDE0,I,True,489,1110666,1640653
True,False,False,414,208,1252130,썸 데,I,False,272,754508,1252130
False,False,False,454,376,28920777,Destiny,I,False,438,204544908,28920777
False,False,False,461,237,4963783,박투신,I,False,295,3872328,4963783
False,True,False,947,360,26101623,초면인데친한척함,I,True,458,204024521,26101623
True,True,False,410,449,51171091,Awe Bear,I,False,511,208281721,51171091
False,False,False,485,172,44330294,귤렐루야,I,True,239,207496863,44330294
False,True,False,453,494,1401545,LinLan,I,False,561,794227,1401545
False,False,False,443,158,45570827,laets,I,False,219,207677337,45570827
False,False,False,871,483,3263292,Afreeca Kramer,I,True,559,2525174,3263292
False,False,False,429,130,30772836,Eth4n,I,False,210,205065873,30772836
False,True,False,667,1035,3149868,단군의청춘부재,I,True,1098,2474930,3149868
False,False,False,517,766,2521310,작전동 노란머리,I,True,828,1893908,2521310
